"<h5><i>Professor Anja Schüler (University of Heidelberg)</i></h5><p><h5><b>Date:</b> 2020-04-04</h5></p><p><h5><b>Time:</b> 15:00 to 16:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> American Woman Suffrage At 100: Transnational Perspectives</h5></p><p>With the founding of the International Council of Women (ICW) in Washington, D.C., in 1880, women started to organize internationally. Like other civic organizations of the late nineteenth century, the ICW saw transnational cooperation as an instrument for reform and political influence on a national level. Interestingly, the ICW did not create a standing committee on womens suffrage until its 1904 congress in Berlin, Germany. Yet, ICW leaders saw womens suffrage as central for their endeavors. This paper will explore why other issues seemed to be higher on the ICW agenda and why the council decided to promote womens suffrage in 1904.</p>","At Best A Very Controversial Issue: The International Council Of Women And The Suffrage Question"
"<h5><i>Dr. Kristina K. Shull (Harvard University)</i></h5><p><h5><b>Date:</b> 2020-04-03</h5></p><p><h5><b>Time:</b> 15:00 to 16:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Mariel Boatlift 40 Years Later: Crimmigration In The Era Of Reagans Cold War</h5></p><p>President Jimmy Carters promise to welcome the Mariel Cuban refugees of 1980 with open arms was quickly amended to exclude undesirable criminal and deviant elements of Fidel Castros boatlift amid media and public panic Efforts to resettle Cuban and Haitian asylum seekers stalled while thousands of detained migrants languished in limbo. Carters successor, Ronald Reagan, sought new ways to curtail the perceived threat of increasing arrivals of Cubans, Haitians, and Central Americans to the United States, even as Reagans hard-line Cold War foreign policies simultaneously exacerbated their displacement. This migration crisis played out on many levels: in transnational solidarity movements and in the resistance and uprisings of migrants held in U.S. detention centers, in an upsurge in Ku Klux Klan activity and xenophobia in American communities, in the news media, and in White House policy deliberations. This paper focuses on local and national responses to the detention of Cubans at Fort Chaffee, Arkansas, to reveal how the spectacle of the Mariel Cuban migration became a specter wielded by the Reagan administration to develop its Mass Immigration Emergency Plan. Together, new policies of mandatory detention, interdiction, border militarization under the war on drugs, and private prison contracting ushered in a new era of crimmigration and buttressed the detention systems subsequent growth.</p>","Here, A Cuban Is Mud: A Refugee Crisis In Arkansas And The Rise Of Reagan's Detention Regime"
"<h5><i> Steven Lewis (National Museum of African American Music)</i></h5><p><h5><b>Date:</b> 2020-04-02</h5></p><p><h5><b>Time:</b> 12:45 to 14:15</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Music In Times Of Political Crisis: Jazz, Folk, And Classical Music In 1930s America</h5></p><p>In <i>The Negro and His Music</i> (1936), Alain Locke provides an account of the origins and development of African American music, which by the 1930s had become the subject of serious critical and scholarly attention. This paper explores the place of big band jazz within Lockes broader theory of black musical development. Even as he praised jazz artists such as Duke Ellington, Louis Armstrong, and Jimmie Lunceford, Locke argued that jazz classics were at best a transitional phase on the way to a truly representative American music. I argue that Lockes conflicted position on jazz reflects a broader ambivalence toward musical improvisation within Lockes Eurocentric theory of black musical progress. Despite his belief in its fervor and freshness, Locke framed jazz improvisation as an undisciplined effusion that must be put under control via the rational and disciplined arts of arranging and composition. Through an analysis of Lockes commentary on jazz in <i>The Negro and His Music</i>, this paper will show how Lockes discussion of jazz fit into larger narratives of assimilation and black progress.</p>","Jazz Of The Better Sort: Alain Locke On Jazz And The Maturation Of Black Music"
"<h5><i>Professor Leon Fink (University of Illinois at Chicago)</i></h5><p><h5><b>Date:</b> 2020-04-04</h5></p><p><h5><b>Time:</b> 08:00 to 09:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Anti-Apartheid Politics: Anticommunism, Corporate Campaigns, And The Long Civil Rights Movement</h5></p><p>The Comprehensive Anti-Apartheid Act of 1986,  passed over President Ronald Reagans veto, may well be the high-water mark of postwar liberal influence on the nations foreign policy.   That this victory was spearheaded by an African American–led coalition steeped in several decades of domestic civil rights struggle as well as deep engagement with Africa since the beginning of decolonization points to a key paradox in the fortunes of U.S. progressive politics.  On the one hand, nothing in the political firmament proved more of a stimulant than the quest for racial justice and equal rights; on the other hand, the leaders of progressive coalitions such as the Free South Africa Movement and its Washington D.C.–based spearhead, TransAfrica, proved less adept at fulfilling their own more radical visions of social change.  In this paper, I examine this dilemma through the contemporary record as well the retrospective commentary of several TransAfrica activists.</p>","Radicals In A Broader Sense: Anti-Apartheid Politics And The Long Arm Of The Civil Rights Movement"
"<h5><i>Dr. Serenity Sutherland (State University of New York at Oswego)</i></h5><p><h5><b>Date:</b> 2020-04-03</h5></p><p><h5><b>Time:</b> 08:00 to 09:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Social Movements And Progressive Inequalities, 1850–1930</h5></p><p>In 1871 Ellen Swallow enrolled as the first female student at Massachusetts Institute of Technology (MIT). Her experience at MIT as a student was one of simultaneous exclusion and inclusion. A few MIT professors, like her eventual husband, mining professor Robert Richards, were willing to work with the new female student and admired her skills in chemistry. Even still, Ellen Richards was excluded from participating in the all-male field schools in the summer, and the MIT Board also denied her pursuit of a PhD in Chemistry as they did not want a woman to receive the first advanced degree awarded at MIT. Imagining those women students who would come after her, Richards used the institutional power of MIT and her connections to orchestrate scientific and educational programs for women. She formed the Womens Laboratory at MIT, operational from 1876 to 1883. In 1882 MIT began formally admitting female students, and Richards acted as an unofficial dean of women students. Despite Richardss progress in creating a space for women to study science at MIT, female enrollment never achieved educational parity with men during Richardss lifetime. Until the 1940s, the number of women enrolled remained less than 1% of the student body and no womens dorms existed. This paper will analyze how Ellen Richards and other women students at MIT understood their unequal access to coeducation and serves as a case study of how coeducation for women students did not result in equal opportunities.</p>","She Was Treated For Some Time As A Dangerous Person: Ellen Swallow Richards And Coeducation At Massachusetts Institute Of Technology"
"<h5><i>Dr. Rahima Schwenkbeck (George Washington University)</i></h5><p><h5><b>Date:</b> 2020-04-02</h5></p><p><h5><b>Time:</b> 14:30 to 16:00</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Different Approaches To Liberating Minds And Bodies: Gender Activism In The 1970s</h5></p><p>The sexual revolution of the 1970s created new opportunities for popular pornography-based magazines to launch. While <i>Playboy </i>had been in circulation since 1953, <i>Hustler </i>and <i>Playgirl </i>began publishing during the early 1970s. While attention is most often placed on the images, the advice columns in these magazines offered a much-needed public forum to discuss matters often kept private. Examining the advice columns across publications during this era helps shed light on matters of deep concern to readers. In <i>Playgirl</i>, female-identifying readers used the space between centerfolds to discuss matters of domestic violence, workplace discrimination, equality, gender roles, sexual health, abortion, religion, politics and empowerment. In contrast, in an era before the Internet, advice seekers in <i>Playboy </i>asked for clarification of the names of high-end cars, where the greatest gold reserves were, and how to navigate social relationships in upper class settings. <i>Hustler </i>provided a place for both men and women to write in, often about sexual health concerns. Those who were experimenting with BSDM, thought they might be bisexual, or were interested in other non-traditional male and female sexual relations also wrote to <i>Hustler </i>and were typically warmly greeted.This presentation will contextualize the different eras and intended audiences for each of the magazines. It will showcase the different styles, needs and responses that writers received to their questions posed to pornography-based magazines. These columns shed a unique light on the deep inequalities within U.S. society, most obviously based on gender and sexuality, but also of class, and occasionally race. It finds that some advice columns were often a comforting, rather than a wholly standardizing space, while others offered a very rigid, stifling portrait of gender and class roles, particularly around definitions of masculinity.</p>","Should I Be Concerned?: Gender, Class And Pornography Advice Columns In The 1970s"
"<h5><i>Professor Britta Waldschmidt-Nelson (University of Augsburg)</i></h5><p><h5><b>Date:</b> 2020-04-04</h5></p><p><h5><b>Time:</b> 15:00 to 16:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> American Woman Suffrage At 100: Transnational Perspectives</h5></p><p>This paper will explore how women engaged in the exchange of feminist ideas and collaborated across national borders to achieve more economic, social and political rights in the 1nineteenth century. Looking at the examples of Ernestine Rose, Mathilda Franziska Anneke and Fredrika Bremer, I will discuss how these women became part of informal, transnational feminist networks, thus paving the way for the rise of successful suffrage movements on both sides of the Atlantic. Moreover, these women not only fought for female equality but also embraced other social justice issues, especially the abolition of slavery and the struggle against militarism and war.</p>","Sisters Unite! Transnational Womens Rights Activism In The 19th Century"
"<h5><i>Dr. Claire Dunning (University of Maryland, College Park)</i></h5><p><h5><b>Date:</b> 2020-04-04</h5></p><p><h5><b>Time:</b> 15:00 to 16:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Leveraging Poverty: New Cities, New Partnerships, And The Progressive Abandonment Of Urban Poverty In The 1980s And 1990s</h5></p><p>In 1988 Bostons Dudley Street Neighborhood Initiative became the first community group in the country to win the power of eminent domain. In what remained an otherwise segregated city, the Dudley neighborhood held remarkable racial, ethnic, and language diversity and, like so many in Boston and around the country, bore the physical marks of decades of divestment, abandonment and deindustrialization. By the 1980s, nearly one-third of the land stood vacant, becoming frequent targets for illegal trash dumping and arson by absentee landlords. As the local nonprofit fought for and won the right to redevelop the neighborhoods economic, physical, and social landscape, it followed a rather predictable path that featured new affordable housing, youth development programs, and business incubation. It did so, however, through a series of experimental public and philanthropic funding programs that structured aid not only as grants but also as loans, tax credits, and subsidies. The Dudley Street Neighborhood Initiative won awards and praise throughout the 1990s and seemingly provided evidence for the kinds of market-oriented policies and public-private partnership approaches championed by the New Democrats and the Clinton administration. Such claims of victory, however, reflected the assessments of politicians and philanthropists who used the newly constructed housing or active community centers as justification for retreat rather than for continued engagement in the activities that appeared to be working.</p>","Take A Stand, Own The Land: Public, Private, And Philanthropic Partners In The Dudley Triangle"
"<h5><i>Mr. Robert Ramaswamy (University of Michigan)</i></h5><p><h5><b>Date:</b> 2020-04-03</h5></p><p><h5><b>Time:</b> 08:00 to 09:30</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Hope And Struggle For The Inner City: Race, Crime, And Urban Revitalization In The Metropolis</h5></p><p>Speaking at a congressional hearing on the proposed National Gardening Act of 1977, Rep. James A. Burke (D-MA), saw fit to quote a founding father: Thomas Jefferson, a famous farmer, knew the joys of working the land when he said, Cultivators of the Earth are the most valuable citizens. They are the most vigorous, the most independent, the most virtuous, and they are tied to their country and wedded to its liberty and interests by the most lasting bonds. Of course, Burke failed to mention that the lasting bonds to which Jefferson referred evoked cultivators—enslaved black people—whom he owned and who worked his land. This paper argues that Burkes emphasis on self-help through an agrarian ideal reflected an increasingly racialized and gendered dichotomy of deserving/undeserving poor in the context of deindustrialization. I examine the spatial politics of state-sponsored urban gardening programs in the postwar United States, specifically Detroits Farm-A-Lot program. I attend to the transformation of vacant space—lots under foreclosure that overwhelmed the Detroit area office of the U.S. Department of Housing and Urban Development (HUD)—through the reestablishment of a series of quantifiable, exchangeable units that Farm-A-Lot participants would keep green and tidy until the mayors office reclaimed them for development. In the 1970s and 1980s, U.S. policy makers increasingly delegitimized cash assistance programs such as Aid to Families with Dependent Children and the Food Stamps Program, demanding that black workers in places such as Detroit embrace their economic necessity—indeed find liberty—by forming lasting bonds with the soil. Farm-A-Lot served black Detroiters by doubling down on an institutional racism rooted—quite literally—in the history of slavery. This paper draws on sources such as the U.S. Department of Agricultures annual reports, memos from HUD, congressional hearings about gardening programs, and newspaper coverage of Detroits Farm-A-Lot program. I argue that the Food Stamp Act of 1977 and ideas of subsistence through self-help converged on the issue of land use in 1970s and 1980s Detroit. Historians of urban gardening in Detroit have suggested that struggles against capital flight were an economic response to deindustrialization while urban gardening was a cultural response. Such characterizations both reify the notion that labor and capital only meet in the workplace and assume that the economic and the cultural are readily separable. This paper is part of a larger project in which I argue that while studies of deindustrialization have tended to understand this period through spaces of production such as the plant and the union hall, approaching deindustrialization through spaces of reproduction such as the household, the community, and the welfare office can help historians to understand the post-1967 reconfiguration of the U.S. welfare state. I also ask whether the so-called crisis of care might be understood less as an event contained in the late twentieth century and more as a sustained and constitutive structure of capitalist accumulation. By invoking Jeffersons lasting bonds, commentators such as Burke revealed not only their cultural understandings of the postindustrial city but also political-economic immobilities that constrained social reproduction.</p>","The Most Lasting Bonds: Detroit's Farm-A-Lot Program And The Reconfiguration(S) Of Reproductive Labor Under Deindustrialization"
"<h5><i>Dr. Jane Berger (Moravian College)</i></h5><p><h5><b>Date:</b> 2020-04-02</h5></p><p><h5><b>Time:</b> 14:30 to 16:00</h5></p><p><h5><b>Type:</b> Paper</h5></p><p><h5><b>Session:</b> Invisible Threads: Maintaining The Social Fabric In The Twentieth-Century United States</h5></p><p>During the 1970s and 1980s, as the federal government decreased its commitment to combating poverty with wealth redistribution, low-income residents in Baltimore lost access to needed public services. With fewer federal funds to hire workers to mow the grass and trim bushes in the citys public parks; provide rat eradication and winterization services; check for lead paint; and assist the elderly with chores they could no longer quite manage, the city abandoned or cut back severely on those and other antipoverty efforts. Meanwhile, the federal government tightened the eligibility requirements for entitlements, including Food Stamps and Medicaid. Despite the cuts, the citys children still needed safe places to play and live. Many elderly residents still needed support. And residents continued to need food and someone to care for them when they were sick. In the wake of the cuts, some simply did without. But women with low incomes, most of them African American, also stepped up to try to fill the voids. They monitored their childrens play; taped up garbage bags to keep out the vermin and cold; checked in on their elderly neighbors; traveled to distant food pantries; and stayed up late and missed work to monitor health scares. And they fought to restore needed funding. All the while, they were derided as welfare queens. This paper identifies the invisible labor women with low incomes performed to compensate for federal policies that shifted wealth up the economic ladder.</p>","Watch[Ing] Their Childrens Every Move: Race, Gender And Caretaking During The Era Of Austerity In Baltimore"
