"#","Popular Non-enforcement of the 1850 Fugitive Slave Law in Northern Communities, 1850-1860"
"#","Into the Suburbs: Japanese Americans, Residential Integration, and the U.S. Expansion of a Japanese Specialty Food"
"#","A Day On, Not a Day Off: Transforming the Martin Luther King Jr. Federal Holiday (1993–1999)"
"#","An Army for Her Husband: Women in the White Power Movement, 1975-1995"
"#","I Should Like to See Truthful History Written: Ulysses S. Grant Shapes the Union Narrative, 1865-1885"
"#","In Dwarf Land and Cannibal Country: Race, Empire, and Bicycle Circumnavigations"
"#","...And I am Entitled to her Service: Black Women's Performances of Mastery in Antebellum Courts"
"#","A Relation of Status and Not of Contract: The Family Privilege in Nineteenth-Century Insolvency Law"
"#","All the Townsends Are Well: An American Family and the 19th-century Landscape of Race"
"#","An Inter-Related Whole: Understanding the Fragments, Frameworks, and Framed Works in the Arthur Schomburg Collection"
"#","Betty the Bureaucrat?: Clerical Workers and Comparable Worth in the 1970s"
"#","Erasing the Scent: Canines and Slaves in the Slave South"
"#","Every Sign or Mark of the Most Distant Antiquity: William Bartram's Florida and Native History"
"#","Fait Chorus : Reclaiming Displaced Histories Through Song"
"#","No Experience Necessary: Florida Governor Claude Kirk and the Rise of Modern Conservatism"
"#","Played Out: Veterans' Interpretations of Mental Illness"
"#","Red Florida in the Caribbean Red: Anarchist Politics and Hispanic Transnational Networks, 1892-1920"
"#","The Coachman is At it Again: Heiress Elopement Scandals with Coachmen in the Gilded Age"
"#","The New York-California Connection: Spanish Anarchists, Revolution and the Radical Press, 1900-1930"
"#","The Politics of Anti-Politics: American Hardcore and Political Activism"
"#","The Spirit Which You Have Aided to Infuse: Fighting Joe and Honest Abe in Civil War Memory"
"#","There Ain't no Texas Branch: Science and Imagination in the American Folklore Society"
"#","Women of Color! To Arms!: The Absence of African American Women in Black Military Service Rhetoric"
"#","'We Were Telling the Truth about Central America': The Office of Public Diplomacy and the Reagan Administration's Low-Intensity War on Nicaragua"
"#","A Cuban Diplomat in the Confederacy: José Agustín Quintero and the Mexican Cotton Trade"
"#","A Greater Caribbean Caudillo: A New Look Upon the Kingfish of Louisiana"
"#","A History of Consent"
"#","A Just and Final Disposal: The History and Politics of California Indian Land Before the Indian New Deal"
"#","A.E.F. Games: Doughboys and Physical Training, Mass Sports, and Athletic Spectacles During World War I"
"#","Advocating for a New Life: The Winter Park Advocate and the Black Experience"
"#","African American Women and the Sears, Roebuck and Company Affirmative Action Cases"
"#","Aging and Woman Suffrage, from the Biographical to the Political: Reconsidering the Historical Genres Through Which We Understand the Significance of Age in American History"
"#","Albert Gallatin and the Mobilization of Opposition to the U.S.-Mexican War"
"#","All That Is Gold Doesn't Glitter: The 1952 U.S. Women's Gold Medal Relay Victory and the Uncertainties of Female Athleticism"
"#","America in Africa: Gilbert Haven and Gilded Age Images of a United States of Africa"
"#","American Indian Citizenship during the New Deal"
"#","An Experiential History of Soap"
"#","An Organization of Brothers: The Grand Army of the Republic, Civil War veterans, and coping with war"
"#","Analogical Peril: Intelligence, History, and Policy in the Vietnam War"
"#","Anti-Semitism in the Anti-New Deal Conservative Coalition"
"#","Apostles of Change: MAYO and the Takeover of the Juan Marcos Presbyterian Church in Houston, 1969-1971"
"#","As Justice and Charity Demands:  An Examination of the Enslaved Persons Owned (and Sold) by the Maryland Province Jesuits, 1717-1838"
"#","Attached at the Hip: Natural Parenting from the 1950s to the Present"
"#","Augusta, Maine, Mail-Order Magazines, and the Political Economy of Junk in Gilded Age America"
"#","Balancing Cultures in Colonial Experiments: Tarhata Kiram and Disciplining Muslim Filipino Identities"
"#","Barrio Baseball in the Golden State: Segregation and Recreation in Californias Mexican Communities, 1920-1960"
"#","Basketry as Her-Story"
"#","Between Arab and Black: Zammouri, Race, and Arab American Identity"
"#","Beyond the Frontlines: Age, Gender, and Seeking Alternative Spaces of Civil Rights Girlhood"
"#","Beyond Zora's Eatonville: Black Labor, White Capital, and the Neo-Abolitionist Origins of Central Florida's Model Townships"
"#","Big Bird in Camouflage: Entertaining Military Families in the Modern Military"
"#","Biographical Interpretation through Short Video"
"#","Black Suffrage and Settlement in Wisconsin"
"#","Black Women's Lives on Film: Sojourner Truth and Clora Bryant"
